angle_deg,distance_mm,quality,rotation
261.90,0.0,0,1
262.80,0.0,0,1
263.70,0.0,0,1
264.60,0.0,0,1
265.50,0.0,0,1
266.40,0.0,0,1
267.30,0.0,0,1
268.20,0.0,0,1
269.10,0.0,0,1
270.00,0.0,0,1
270.90,0.0,0,1
271.80,0.0,0,1
272.70,0.0,0,1
273.60,0.0,0,1
274.50,0.0,0,1
275.40,0.0,0,1
276.30,0.0,0,1
277.20,0.0,0,1
278.10,0.0,0,1
279.00,0.0,0,1
279.90,0.0,0,1
280.80,0.0,0,1
281.70,0.0,0,1
282.60,0.0,0,1
283.50,0.0,0,1
284.40,196.2,17,1
285.30,196.2,15,1
286.20,196.2,12,1
287.10,196.0,13,1
288.00,196.2,12,1
288.90,0.0,0,1
289.80,0.0,0,1
290.70,0.0,0,1
291.60,0.0,0,1
292.50,0.0,0,1
293.40,0.0,0,1
294.30,0.0,0,1
295.20,0.0,0,1
296.10,0.0,0,1
297.00,0.0,0,1
297.90,0.0,0,1
298.80,704.5,225,1
299.70,704.5,204,1
300.60,704.5,179,1
301.50,704.5,158,1
302.40,704.5,147,1
303.30,704.5,130,1
304.20,704.5,106,1
305.10,704.5,78,1
306.00,704.5,64,1
306.90,704.5,51,1
307.80,704.5,36,1
308.70,704.5,40,1
309.60,704.5,37,1
310.50,896.2,51,1
311.40,896.5,78,1
312.30,896.5,103,1
313.20,896.5,130,1
314.10,896.5,163,1
315.00,896.5,185,1
315.90,896.5,200,1
316.80,896.5,215,1
317.70,896.0,152,1
318.60,896.0,168,1
319.50,896.0,241,1
320.40,896.0,198,1
321.30,960.0,71,1
322.20,960.2,31,1
323.10,960.2,151,1
324.00,960.2,124,1
324.90,960.0,161,1
325.80,960.2,237,1
326.70,960.2,215,1
327.60,1024.0,59,1
328.50,1024.0,75,1
329.40,1024.0,70,1
330.30,1024.0,181,1
331.20,1024.2,187,1
332.10,1088.0,8,1
333.00,1088.0,22,1
333.90,1088.0,108,1
334.80,1152.2,36,1
335.70,1152.2,112,1
336.60,1152.2,210,1
337.50,1216.2,33,1
338.40,1216.2,98,1
339.30,1216.2,170,1
340.20,1280.2,1,1
341.10,1280.0,33,1
342.00,1280.0,40,1
342.90,0.0,0,1
343.80,0.0,0,1
344.70,0.0,0,1
345.60,12.5,229,1
346.50,7.2,226,1
347.40,0.0,0,1
348.30,0.0,0,1
349.20,0.0,0,1
350.10,6.8,214,1
351.00,8.2,212,1
351.90,0.0,0,1
352.80,0.0,0,1
353.70,0.0,0,1
354.60,0.0,0,1
355.50,0.0,0,1
356.40,8.2,188,1
357.30,0.0,0,1
358.20,0.0,0,1
359.10,0.0,0,1
0.00,0.0,0,2
0.92,0.0,0,2
1.84,0.0,0,2
2.76,6.2,147,2
3.67,0.0,0,2
4.59,0.0,0,2
5.51,0.0,0,2
6.43,0.0,0,2
7.35,0.0,0,2
8.27,0.0,0,2
9.18,0.0,0,2
10.10,0.0,0,2
11.02,0.0,0,2
11.94,0.0,0,2
12.86,0.0,0,2
13.78,0.0,0,2
14.69,0.0,0,2
15.61,14.0,120,2
16.53,0.0,0,2
17.45,17.2,120,2
18.37,18.2,120,2
19.29,0.0,0,2
20.20,0.0,0,2
21.12,0.0,0,2
22.04,0.0,0,2
22.96,0.0,0,2
23.88,0.0,0,2
24.80,0.0,0,2
25.71,0.0,0,2
26.63,0.0,0,2
27.55,0.0,0,2
28.47,0.0,0,2
29.39,0.0,0,2
30.31,0.0,0,2
31.22,0.0,0,2
32.14,0.0,0,2
33.06,0.0,0,2
33.98,0.0,0,2
34.90,0.0,0,2
35.82,0.0,0,2
36.73,65.5,48,2
37.65,69.0,35,2
38.57,0.0,0,2
39.49,0.0,0,2
40.41,68.0,26,2
41.33,0.0,0,2
42.24,66.5,28,2
43.16,0.0,0,2
44.08,0.0,0,2
45.00,0.0,0,2
45.92,0.0,0,2
46.84,67.5,33,2
47.76,0.0,0,2
